OBJECTID,ZCODE_VERSION,ZONE_DESCRIPTION,NBHD_CONTEXT,ZONE_DISTRICT_GROUP,ZONE_USE_FORM,ZONE_DISTRICT,ZONE_DIST_TYPE,OVERLAY_DISTRICT,WAIVERS,CONDITIONS,PUD_NUM,PUD_STD_ZONE_DIST,ORD_NUM,ORD_YEAR,PBG,NOTES,PUD_DOCUMENT,GLOBALID,HEIGHT_STORIES,ADU,Shape_Area,Shape_Length
17931,2010,"Multi Unit  (MU, RH, RO)",GENERAL URBAN,G-RH,RH,G-RH-3,Residential,DO-10,,,,,1647,2022,,,NA.pdf,45f4a942-ce59-47e9-8fb3-241e39c0a46e,3,Yes,8456.308594,438.5166053
17933,1956,Former Chapter 59 Zone,SPECIAL PUD,PUD,999,PUD,PUD,,,,49,,374,1982,,,PUD 49.pdf,46158d08-89ac-4afc-b2e6-0adee3c248ef,,No,104510.1484,1306.696525
17934,1956,Former Chapter 59 Zone,,,999,C-MU-10,Commercial Mixed Use,AIO,WVRS,*,,,135,2000,,,NA.pdf,46c843c8-70dd-4f07-9bb3-40ee1dd013b0,,No,466912.5342,2760.437149
17935,2010,"Industrial - Mixed Use  (I-MX, M-IMX)",SPECIAL INDUSTRIAL,I-MX,MX,I-MX-8,Commercial Mixed Use,DO-7,,,,,17,2018,,Commercial MU per definitions in code,NA.pdf,47202e45-5897-4af8-a666-6546f4ccb6a5,8,Yes,174115.4363,2601.116105
17936,2010,"Multi Unit  (MU, RH, RO)",URBAN,U-RH,RH,U-RH-2.5,Residential,"CO-2, UO-3",,,,,333,2010,,Ord. 255-13 add CO-2 Overlay,NA.pdf,475d63af-4f6b-4aea-9c8a-b7a5924742fc,2.5,Yes,90350.91895,1992.308337
17937,2010,"Multi Unit  (MU, RH, RO)",URBAN,U-RH,RH,U-RH-2.5,Residential,,,,,,1432,2021,,,NA.pdf,485d5c27-c6a2-416a-a4be-4c429fc558b4,2.5,Yes,11654.35449,461.0744895
17938,2010,Main Street  (MS),URBAN CENTER,C-MS,MS,C-MS-5,Commercial Mixed Use,DO-8,,,,,59,2023,,,NA.pdf,487cf4aa-07c8-4ec9-8f62-a80ebdd3d658,5,Yes,9532.58252,488.3227454
17939,2010,"Multi Unit  (MU, RH, RO)",URBAN,U-RH,RH,U-RH-3A,Residential,UO-3,,,,,333,2010,,,NA.pdf,49fda76e-5bb5-48a6-aff4-ab6dccd82c54,3,Yes,23246.98682,609.9750267
17941,2010,"Industrial - Mixed Use  (I-MX, M-IMX)",SPECIAL INDUSTRIAL,I-MX,MX,I-MX-8,Commercial Mixed Use,AIO,WVRS,,,,345,2022,,Commercial MU per definitions in code,NA.pdf,4a81e10e-c59f-4643-a0f9-be32c9e03ea3,8,No,1905146.982,6724.91502
17942,2010,Residential Mixed Use  (RX),URBAN CENTER,C-RX,RX,C-RX-8,Residential,,,,,,314,2016,,,NA.pdf,4ae7a398-204f-44b9-b971-5ffad91f640b,8,Yes,147096.313,1900.808848
17943,1956,Former Chapter 59 Zone,,,999,GTWY,Commercial Mixed Use,,,,,,369,1993,,GTWY Use Area MU1,NA.pdf,4b15ded1-0901-4bf9-88ac-3397e5cef0d0,,No,586557.2529,3384.82519
17944,2010,"Mixed Use  (MX, M-GMX)",URBAN CENTER,C-MX,MX,C-MX-12,Commercial Mixed Use,"UO-1, DO-7",,,,,425,2022,,,NA.pdf,4c7cc4de-3b18-4fac-9844-43b15d53e231,12,Yes,248621.4004,1984.087925
17945,2010,Residential Mixed Use  (RX),GENERAL URBAN,G-RX,RX,G-RX-5,Residential,,,,,,750,2017,,,NA.pdf,4d160c72-3975-4aa5-9fa1-48dcd7e800a7,5,Yes,27920.89453,881.0976954
17947,2010,"Mixed Use  (MX, M-GMX)",SUBURBAN,S-MX,MX,S-MX-12A,Commercial Mixed Use,,,,,,1644,2025,,,NA.pdf,4d9d022c-7d0d-4e33-9aaa-96b60b3d0d3d,12,Yes,497208.9629,3549.119563
17948,2010,"Industrial - Mixed Use  (I-MX, M-IMX)",SPECIAL INDUSTRIAL,I-MX,MX,I-MX-5,Commercial Mixed Use,,,,,,43,2018,,Commercial MU per definitions in code,NA.pdf,4da32dcf-409f-4c97-8242-a56ed5bcb8c1,5,Yes,32772.66699,719.1251455
